upc,item,brand,segment,flavor,pack_type,total_sales,total_units,weeks_observed,promo_weeks,avg_aup,promo_week_pct
78616241099,GLC SMR WTR PRLY BLNC PH ELCT TST DSTL BTL 12PK 33.8 FL OZ,"GLACEAU SMART WATER (ENERGY BRANDS, INC.)",SUW,UNFLAVORED,MULTI PACK,1288594.999181732,56469.8155161675,60,13,22.846632968225688,0.21666666666666667
6827436024,PR LF PBLC SPLY DSTL WTR JUG 320 FL OZ,PURE LIFE (PRIMO BRANDS CORPORATION),SUW,UNFLAVORED,SINGLE PACK,1278369.5159943614,220644.0161320578,60,0,5.7957775179997855,0.0
7114200408,ARWH ASRTD MNTN SPRN WTR BTL 32PK 16.9 FL OZ,ARROWHEAD (PRIMO BRANDS CORPORATION),SUW,UNFLAVORED,MULTI PACK,1253751.5736341423,183471.98925038465,60,14,6.950264253179031,0.23333333333333334
7514000500,CRYS GYS CG RXN SRC ALPN SPRN SPRN WTR BTL 50.72 FL OZ,CRYSTAL GEYSER (CG ROXANE LLC),SUW,UNFLAVORED,SINGLE PACK,1245967.9987952427,986257.4878950965,60,6,1.2629657248328692,0.1
200039960004,CTL BR DRNK WTR BTL 28PK 20 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,1240516.139698655,255934.1589417969,60,4,4.870312306156438,0.06666666666666667
78616207000,GLC VTM WTR KW STRW FLVR PLS OTHR NTRL FLVR NTRN ENHN BVRG BTL 20 FL OZ,"GLACEAU VITAMIN WATER (ENERGY BRANDS, INC.)",SFW,KIWI STRAWBERRY,SINGLE PACK,1232179.6321607188,681678.1063694501,60,23,1.8120981109263463,0.38333333333333336
200026832156,CTL BR DRNK WTR BTL 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,1199415.6475272388,861839.2689365881,60,4,1.391509649918476,0.06666666666666667
200028208012,CTL BR DRNK WTR BTL 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,1189152.2354400456,955930.0866395648,60,4,1.2505856789360164,0.06666666666666667
63256500002,FJ YQR VT LEVU EART FNST ELCT ARTS WTR BTL 33.8 FL OZ,FIJI (NATURAL WATERS OF VITI LIMITED),SUW,UNFLAVORED,SINGLE PACK,1181182.5472780038,419595.5271004139,60,24,2.8277949311579778,0.4
78616200351,GLC VTM WTR ZR SGR AC BLBR PMGR NTRN ENHN BVRG BTL 6PK 16.9 FL OZ,"GLACEAU VITAMIN WATER (ENERGY BRANDS, INC.)",SFW,ACAI BLUEBERRY POMEGRANATE,MULTI PACK,1133431.868445484,164140.06080542644,60,13,6.915171202144266,0.21666666666666667
81003120009,PRFC HYD MNCP SRC ASRTD DRNK WTR BTL 128 FL OZ,PERFECT HYDRATION (STRATUS GROUP LLC),SUW,UNFLAVORED,SINGLE PACK,1121281.3588846214,241684.46978893367,60,22,4.650611152193613,0.36666666666666664
7114242378,ARWH MNTN SPRN WTR BTL 6PK 23.7 FL OZ,ARROWHEAD (PRIMO BRANDS CORPORATION),SUW,UNFLAVORED,MULTI PACK,1116183.474248999,378573.4196337618,60,29,2.9579877304764532,0.48333333333333334
